ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,Country_sp,Iso3166,Report ,Type,(C/TC) x100 (e),(SD/D) x100 (e),0,CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Lab Confirm Incidence rate,Number of Records,Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Peru,"DEN 1,2,3",2026,Out,53,Perú,604,01/01/2026,Preliminar,64.64524273,0.447062536,0,0.11,12291,21,17,54.44,35.2,1,34922,85,19013
4,Paraguay,"DEN 1,2,3",2026,Out,53,Paraguay,600,01/01/2026,Preliminar,2.494618209,0,0,0,197,0,18,111.3,2.78,1,7095,0,7897
6,Montserrat,  ,2026,Out,53,Montserrat,500,01/01/2026,Preliminar,,,0,,0,0,8,0,0,1,4,0,0
2,Panama,  ,2026,Out,53,Panamá,591,01/01/2026,Preliminar,74.09186431,0.570399279,0,0.21,2468,7,18,72.02,53.36,1,4625,19,3331
6,Curaçao,  ,2022,Out,53,Curazao,531,01/01/2022,Preliminar,,,0,,,,-,,,1,185,,
6,Haiti,  ,2025,Out,53,Haití,332,01/01/2025,Preliminar,,,0,,,,-,,,1,11906,,
5,Cuba,  ,2026,Out,53,Cuba,192,01/01/2026,Preliminar,,,0,,,,-,,,1,10892,,
5,Cuba,  ,2023,Out,53,Cuba,192,01/01/2023,Preliminar,,,0,,,,-,,,1,11019,,
6,Bahamas,  ,2022,Out,53,Bahamas,44,01/01/2022,Preliminar,,,0,,,,-,,,1,397,,
6,Curaçao,  ,2025,Out,53,Curazao,531,01/01/2025,Preliminar,,,0,,,,-,,,1,185,,
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2022,Preliminar,,,0,,,,-,,,1,28,,
6,Bahamas,  ,2025,Out,53,Bahamas,44,01/01/2025,Preliminar,,,0,,,,-,,,1,403,,
6,Haiti,  ,2017,Out,53,Haití,332,01/01/2017,Preliminar,,,0,,,,-,,,1,10817,,
6,Haiti,  ,2014,Out,53,Haití,332,01/01/2014,Preliminar,,,0,,,,-,,,1,10373,,
6,Aruba,  ,2026,Out,53,Aruba,533,01/01/2026,Preliminar,,,0,,,,-,,,1,108,,
6,Sint Maarten,  ,2021,Out,53,Isla de San Martín (Holanda),534,01/01/2021,Preliminar,,,0,,,,-,,,1,41,,
6,"Bonaire, Saint Eustatius and Saba",  ,2014,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2014,Preliminar,,,0,,,,-,,,1,24,,
6,"Bonaire, Saint Eustatius and Saba",  ,2017,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2017,Preliminar,,,0,,,,-,,,1,24,,
6,Anguilla,  ,2022,Out,53,Anguila,660,01/01/2022,Preliminar,,,0,,,,-,,,1,14,,
6,French Guiana,  ,2022,Out,53,Guayana Francesa,254,01/01/2022,Preliminar,,,0,,,,-,,,1,298,,
6,"Bonaire, Saint Eustatius and Saba",  ,2025,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2025,Preliminar,,,0,,,,-,,,1,31,,
6,Sint Maarten,  ,2022,Out,53,Isla de San Martín (Holanda),534,01/01/2022,Preliminar,,,0,,,,-,,,1,42,,
3,Venezuela,  ,2024,Out,53,Venezuela,862,01/01/2024,Preliminar,,,0,,,,-,,,1,28405,,
6,Haiti,  ,2016,Out,53,Haití,332,01/01/2016,Preliminar,,,0,,,,-,,,1,10671,,
6,"Bonaire, Saint Eustatius and Saba",  ,2026,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2026,Preliminar,,,0,,,,-,,,1,31,,
3,Venezuela,  ,2025,Out,53,Venezuela,862,01/01/2025,Preliminar,,,0,,,,-,,,1,28516,,
6,"Bonaire, Saint Eustatius and Saba",  ,2023,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2023,Preliminar,,,0,,,,-,,,1,29,,
2,Nicaragua,  ,2026,Out,53,Nicaragua,558,01/01/2026,Preliminar,,,0,,,,-,,,1,7097,,
6,Bahamas,  ,2026,Out,53,Bahamas,44,01/01/2026,Preliminar,,,0,,,,-,,,1,404,,
6,Curaçao,  ,2021,Out,53,Curazao,531,01/01/2021,Preliminar,,,0,,,,-,,,1,185,,
6,Haiti,  ,2024,Out,53,Haití,332,01/01/2024,Preliminar,,,0,,,,-,,,1,11772,,
6,Haiti,  ,2023,Out,53,Haití,332,01/01/2023,Preliminar,,,0,,,,-,,,1,11637,,
6,"Bonaire, Saint Eustatius and Saba",  ,2021,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2021,Preliminar,,,0,,,,-,,,1,27,,
3,Venezuela,  ,2026,Out,53,Venezuela,862,01/01/2026,Preliminar,,,0,,,,-,,,1,28633,,
6,Curaçao,  ,2023,Out,53,Curazao,531,01/01/2023,Preliminar,,,0,,,,-,,,1,185,,
6,Bahamas,  ,2021,Out,53,Bahamas,44,01/01/2021,Preliminar,,,0,,,,-,,,1,396,,
6,Sint Maarten,  ,2026,Out,53,Isla de San Martín (Holanda),534,01/01/2026,Preliminar,,,0,,,,-,,,1,44,,
6,Curaçao,  ,2026,Out,53,Curazao,531,01/01/2026,Preliminar,,,0,,,,-,,,1,185,,
6,Anguilla,  ,2021,Out,53,Anguila,660,01/01/2021,Preliminar,,,0,,,,-,,,1,14,,
6,Haiti,  ,2026,Out,53,Haití,332,01/01/2026,Preliminar,,,0,,,,-,,,1,12037,,
1,North America,  ,2019,In,53,América del Norte,,01/01/2019,Preliminar,100,1.813471503,0,0,1158,0,-,0.31,0.31,1,375572,21,1158
1,North America,  ,2024,In,53,América del Norte,,01/01/2024,Preliminar,100,1.95376099,0,0,3071,0,-,0.8,0.8,1,385168,60,3071
2,Central America Ithsmus and Mexico,  ,2018,In,53,Istmo Centroamericano y México,,01/01/2018,Preliminar,13.00601528,1.324987807,0,0.051,22400,87,-,99.38,12.93,1,173306,2282,172228
4,Southern Cone,  ,2022,In,53,Cono Sur,,01/01/2022,Preliminar,51.09183212,0.062398839,0,0.042,1211816,991,-,831.01,424.58,1,285416,1480,2371839
5,Latin Caribbean,  ,2020,In,53,Caribe Latino,,01/01/2020,Preliminar,43.23379924,4.383735705,0,0.572,2722,36,-,24.73,10.69,1,25459,276,6296
3,Andean Subregion,  ,2022,In,53,Subregión Andina,,01/01/2022,Preliminar,65.45859933,0.95705857,0,0.09,124480,172,-,132.68,86.85,1,143325,1820,190166
6,Non-Latin Caribbean,  ,2025,In,53,Caribe No Latino,,01/01/2025,Preliminar,20.45953645,2.898768964,0,0.011,16304,9,-,384.92,78.75,1,20703,2310,79689
5,Latin Caribbean,  ,2017,In,53,Caribe Latino,,01/01/2017,Preliminar,48.48716967,4.098046725,0,0.115,1266,3,-,10.33,5.01,1,25284,107,2611
2,Central America Ithsmus and Mexico,  ,2022,In,53,Istmo Centroamericano y México,,01/01/2022,Preliminar,12.35429223,0.408413491,0,0.036,28616,83,-,128.81,15.91,1,179816,946,231628
1,North America,  ,2020,In,53,América del Norte,,01/01/2020,Preliminar,100,0,0,0,307,0,-,0.08,0.08,1,377607,0,307
4,Southern Cone,  ,2017,In,53,Cono Sur,,01/01/2017,Preliminar,30.93720328,0.055748388,0,0.028,157049,144,-,183.08,56.64,1,277275,283,507638
1,North America,  ,2016,In,53,América del Norte,,01/01/2016,Preliminar,100,0,0,0,990,0,-,0.27,0.27,1,365532,0,990
6,Non-Latin Caribbean,  ,2019,In,53,Caribe No Latino,,01/01/2019,Preliminar,11.66566446,0.090198437,0,0.15,1940,25,-,83.67,9.76,1,19875,15,16630
3,Andean Subregion,  ,2017,In,53,Subregión Andina,,01/01/2017,Preliminar,36.49373201,0.709814017,0,0.086,47917,113,-,95.06,34.69,1,138123,932,131302
4,Southern Cone,  ,2025,In,53,Cono Sur,,01/01/2025,Preliminar,38.09020236,0.068028472,0,0.047,1479297,1840,-,"1,344.21",512.01,1,288919,2642,3883668
6,Non-Latin Caribbean,  ,2014,In,53,Caribe No Latino,,01/01/2014,Preliminar,42.74862481,0.261940103,0,0.026,4896,3,-,60.56,25.89,1,18911,30,11453
1,North America,  ,2026,In,53,América del Norte,,01/01/2026,Preliminar,100,1.904761905,0,0,105,0,-,0.03,0.03,1,389502,2,105
2,Central America Ithsmus and Mexico,  ,2023,In,53,Istmo Centroamericano y México,,01/01/2023,Preliminar,15.03475286,0.338161853,0,0.063,93900,393,-,343.89,51.7,1,181613,2112,624553
3,Andean Subregion,  ,2021,In,53,Subregión Andina,,01/01/2021,Preliminar,65.82181371,0.886588985,0,0.081,90946,112,-,97.17,63.96,1,142199,1225,138170
2,Central America Ithsmus and Mexico,  ,2017,In,53,Istmo Centroamericano y México,,01/01/2017,Preliminar,12.45763677,0.32101162,0,0.034,22974,62,-,107.55,13.4,1,171468,592,184417
4,Southern Cone,  ,2021,In,53,Cono Sur,,01/01/2021,Preliminar,42.04376778,0.037234229,0,0.024,418922,243,-,350.35,147.3,1,284398,371,996395
2,Central America Ithsmus and Mexico,  ,2026,In,53,Istmo Centroamericano y México,,01/01/2026,Preliminar,16.06051345,0.394254279,0,0.034,5255,11,-,17.51,2.81,1,186863,129,32720
5,Latin Caribbean,  ,2021,In,53,Caribe Latino,,01/01/2021,Preliminar,11.58426561,4.853843378,0,0.505,642,28,-,21.74,2.52,1,25498,269,5542
3,Andean Subregion,  ,2025,In,53,Subregión Andina,,01/01/2025,Preliminar,66.75242925,0.834311693,0,0.103,160338,248,-,162.97,108.79,1,147387,2004,240198
5,Latin Caribbean,  ,2016,In,53,Caribe Latino,,01/01/2016,Preliminar,23.17030871,7.746560296,0,0.451,2004,39,-,34.2,7.92,1,25292,670,8649
5,Latin Caribbean,  ,2026,In,53,Caribe Latino,,01/01/2026,Preliminar,55.18867925,2.948113208,0,0.118,468,1,-,3.3,1.82,1,25723,25,848
3,Andean Subregion,  ,2026,In,53,Subregión Andina,,01/01/2026,Preliminar,43.45033607,0.868075385,0,0.05,49453,57,-,76.55,33.26,1,148684,988,113815
6,Non-Latin Caribbean,  ,2022,In,53,Caribe No Latino,,01/01/2022,Preliminar,25.26801153,0.051873199,0,0,4384,0,-,85.41,21.58,1,20313,9,17350
6,Non-Latin Caribbean,  ,2023,In,53,Caribe No Latino,,01/01/2023,Preliminar,23.17353413,1.899090922,0,0.094,16034,65,-,338.09,78.35,1,20465,1314,69191
2,Central America Ithsmus and Mexico,  ,2021,In,53,Istmo Centroamericano y México,,01/01/2021,Preliminar,9.369043417,1.23632192,0,0.049,10617,55,-,63.58,5.96,1,178233,1401,113320
1,North America,  ,2023,In,53,América del Norte,,01/01/2023,Preliminar,100,0,0,0,156,0,-,0.04,0.04,1,382776,0,156
1,North America,  ,2015,In,53,América del Norte,,01/01/2015,Preliminar,100,0.634920635,0,0,945,0,-,0.26,0.26,1,362088,6,945
6,Non-Latin Caribbean,  ,2018,In,53,Caribe No Latino,,01/01/2018,Preliminar,29.95124924,2.224253504,0,0.396,983,13,-,16.67,4.99,1,19684,73,3282
5,Latin Caribbean,  ,2025,In,53,Caribe Latino,,01/01/2025,Preliminar,9.186052968,2.548442618,0,0.058,3309,21,-,140.21,12.88,1,25692,918,36022
3,Andean Subregion,  ,2016,In,53,Subregión Andina,,01/01/2016,Preliminar,41.81612577,0.593204502,0,0.068,87269,142,-,152.61,63.82,1,136753,1238,208697
4,Southern Cone,  ,2018,In,53,Cono Sur,,01/01/2018,Preliminar,36.53762497,0.065655386,0,0.035,181421,175,-,177.67,64.91,1,279475,326,496532
4,Southern Cone,  ,2026,In,53,Cono Sur,,01/01/2026,Preliminar,21.71789814,0.039214809,0,0.016,165038,118,-,262.05,56.91,1,289987,298,759917
3,Andean Subregion,  ,2020,In,53,Subregión Andina,,01/01/2020,Preliminar,31.37304252,0.665109686,0,0.077,84764,207,-,191.25,60,1,141273,1797,270181
